time,motor_angle,motor_setpoint,pendulum_angle,pendulum_setpoint,rpm,voltage,current
2.086,0.0,0,0.0,0,0,0,0
2.1,0.0,0,0.0,0,0,5,0
2.113,0.0,0,0.0,0,0,5,0
2.123,3.69,0,0.0,0,88,5,119
2.132,13.53,0,0.0,0,182,5,109
2.146,23.55,0,0.0,0,238,5,102
2.152,44.82,0,0.0,0,326,5,91
2.161,65.56,0,0.0,0,388,5,83
2.179,87.01,0,0.0,0,432,5,78
2.186,126.21,0,0.0,0,506,5,69
2.193,160.13,0,0.0,0,555,5,63
2.202,186.85,0,0.0,0,589,5,59
2.211,220.07,0,0.0,0,622,5,55
2.216,248.55,0,0.0,0,652,5,51
2.22,278.78,0,0.0,0,678,5,49
2.224,297.77,0,0.0,0,693,5,46
2.232,314.64,0,0.0,0,704,5,44
2.238,334.68,0,0.0,0,718,5,44
2.246,369.84,0,0.0,0,741,5,41
2.254,399.02,0,0.0,0,761,5,39
2.268,439.27,0,0.0,0,782,5,35
2.274,490.6,0,0.0,0,806,5,32
2.281,535.6,0,0.0,0,826,5,30
2.288,565.48,0,0.0,0,839,5,30
2.296,606.09,0,0.0,0,852,5,27
2.304,642.3,0,0.0,0,864,5,26
2.314,685.72,0,0.0,0,879,5,24
2.318,750.93,0,0.0,0,896,5,23
2.328,778.88,0,0.0,0,905,5,22
2.335,800.6800000000001,0,0.0,0,914,5,21
2.343,860.09,0,0.0,0,929,5,20
2.355,899.8199999999999,0,0.0,0,936,5,20
2.362,961.69,0,0.0,0,950,5,19
2.367,1012.14,0,0.0,0,960,5,18
2.374,1050.82,0,0.0,0,967,5,18
2.381,1079.6399999999999,0,0.0,0,974,5,18
2.389,1124.29,0,0.0,0,985,5,17
2.398,1171.23,0,0.0,0,991,5,16
2.411,1207.96,0,0.0,0,1000,5,16
2.421,1283.55,0,0.0,0,1009,5,16
2.431,1341.38,0,0.0,0,1019,5,14
2.44,1411.17,0,0.0,0,1028,5,13
2.446,1468.3,0,0.0,0,1037,5,13
2.454,1521.56,0,0.0,0,1047,5,12
2.469,1580.8,0,0.0,0,1055,5,11
2.483,1628.96,0,0.0,0,1058,5,12
2.489,1721.07,0,0.0,0,1067,5,10
2.496,1792.79,0,0.0,0,1073,5,10
2.503,1846.58,0,0.0,0,1079,5,9
2.507,1893.69,0,0.0,0,1082,5,8
2.514,1920.76,0,0.0,0,1084,5,8
2.521,1950.1100000000001,0,0.0,0,1088,5,8
2.528,2001.44,0,0.0,0,1091,5,8
2.536,2037.12,0,0.0,0,1094,5,7
2.546,2093.73,0,0.0,0,1095,5,7
2.552,2153.67,0,0.0,0,1100,5,7
2.561,2213.26,0,0.0,0,1106,5,7
2.57,2244.37,0,0.0,0,1107,5,6
2.579,2309.58,0,0.0,0,1109,5,5
2.587,2379.02,0,0.0,0,1113,5,6
2.597,2429.82,0,0.0,0,1113,5,5
2.601,2505.05,0,0.0,0,1116,5,5
2.605,2545.13,0,0.0,0,1120,5,6
2.612,2572.55,0,0.0,0,1119,5,5
2.619,2600.15,0,0.0,0,1120,5,4
2.626,2649.55,0,0.0,0,1123,5,4
2.637,2698.76,0,0.0,0,1121,5,4
2.642,2760.99,0,0.0,0,1128,5,4
2.646,2816.19,0,0.0,0,1124,5,3
2.65,2850.46,0,0.0,0,1127,5,3
2.66,2875.7799999999997,0,0.0,0,1128,5,4
2.67,2903.2,0,0.0,0,1130,5,4
2.68,2975.44,0,0.0,0,1128,5,2
2.691,3050.68,0,0.0,0,1131,5,3
2.705,3124.33,0,0.0,0,1134,5,3
2.717,3209.06,0,0.0,0,1131,5,2
2.727,3288.69,0,0.0,0,1137,5,3
2.74,3362.87,0,0.0,0,1134,5,2
2.749,3440.39,0,0.0,0,1136,5,3
2.759,3535.48,0,0.0,0,1139,5,2
2.766,3582.77,0,0.0,0,1138,5,2
2.775,3652.38,0,0.0,0,1140,5,2
2.782,3705.46,0,0.0,0,1140,5,2
2.793,3771.38,0,0.0,0,1139,5,2
2.798,3833.08,0,0.0,0,1142,5,2
2.802,3883.88,0,0.0,0,1143,5,1
2.807,3915.17,0,0.0,0,1141,5,2
2.816,3938.9,0,0.0,0,1142,5,2
2.823,3980.74,0,0.0,0,1145,5,2
2.832,4041.91,0,0.0,0,1143,5,2
2.843,4103.96,0,0.0,0,1141,5,1
2.852,4163.02,0,0.0,0,1143,5,2
2.859,4233.51,0,0.0,0,1142,5,1
2.869,4283.26,0,0.0,0,1144,5,1
2.875,4356.38,0,0.0,0,1144,5,2
2.88,4421.25,0,0.0,0,1147,5,1
2.884,4446.03,0,0.0,0,1146,5,1
2.892,4472.05,0,0.0,0,1146,5,1
2.896,4507.2,0,0.0,0,1146,5,2
2.905,4558.0,0,0.0,0,1140,5,2
2.917,4587.89,0,0.0,0,1147,5,1
2.929,4669.45,0,0.0,0,1144,5,2
2.937,4744.16,0,0.0,0,1146,5,1
2.946,4817.81,0,0.0,0,1143,5,0
2.953,4896.91,0,0.0,0,1147,5,2
2.957,4935.41,0,0.0,0,1146,5,1
2.962,4980.05,0,0.0,0,1147,5,1
2.965,5010.29,0,0.0,0,1147,5,1
2.97,5040.17,0,0.0,0,1146,5,2
2.978,5067.42,0,0.0,0,1146,5,2
2.988,5099.41,0,0.0,0,1149,5,2
2.996,5172.18,0,0.0,0,1150,5,1
3.003,5223.86,0,0.0,0,1145,5,2
3.014,5280.46,0,0.0,0,1144,5,1
3.018,5335.83,0,0.0,0,1146,5,1
3.023,5407.2,0,0.0,0,1147,5,2
3.027,5430.05,0,0.0,0,1148,5,2
3.031,5458.0,0,0.0,0,1148,5,1
3.035,5486.83,0,0.0,0,1146,5,1
3.04,5513.73,0,0.0,0,1147,5,1
3.049,5542.03,0,0.0,0,1151,5,0
3.055,5589.66,0,0.0,0,1149,5,2
3.065,5643.45,0,0.0,0,1147,5,1
3.076,5709.19,0,0.0,0,1146,5,1
3.084,5773.88,0,0.0,0,1148,5,2
3.094,5833.3,0,0.0,0,1148,5,1
3.105,5888.14,0,0.0,0,1148,5,1
3.112,5978.14,0,0.0,0,1148,5,2
3.117,6029.47,0,0.0,0,1147,5,1
3.121,6077.98,0,0.0,0,1146,5,1
3.125,6107.69,0,0.0,0,1147,5,1
3.134,6139.51,0,0.0,0,1147,5,2
3.145,6170.44,0,0.0,0,1148,5,2
3.152,6251.13,0,0.0,0,1148,5,0
3.159,6305.44,0,0.0,0,1148,5,2
3.166,6349.74,0,0.0,0,1148,5,2
3.177,6416.19,0,0.0,0,1146,5,1
3.183,6456.26,0,0.0,0,1148,5,1
3.191,6525.87,0,0.0,0,1149,5,2
3.2,6576.32,0,0.0,0,1148,5,1
3.207,6644.0,0,0.0,0,1149,5,1
3.211,6687.77,0,0.0,0,1145,5,2
3.215,6729.25,0,0.0,0,1149,5,1
3.219,6756.67,0,0.0,0,1148,5,1
3.223,6784.1,0,0.0,0,1146,5,1
3.239,6814.86,0,0.0,0,1147,5,1
3.249,6891.67,0,0.0,0,1147,5,2
3.256,6963.04,0,0.0,0,1146,5,1
3.264,7025.09,0,0.0,0,1148,5,2
3.273,7083.45,0,0.0,0,1148,5,1
3.283,7141.81,0,0.0,0,1148,5,1
3.296,7194.55,0,0.0,0,1147,5,2
3.301,7276.46,0,0.0,0,1152,5,1
3.305,7351.87,0,0.0,0,1149,5,0
3.309,7376.66,0,0.0,0,1146,5,2
3.321,7406.71,0,0.0,0,1150,5,2
3.328,7441.17,0,0.0,0,1151,5,1
3.335,7518.69,0,0.0,0,1148,5,1
3.342,7567.2,0,0.0,0,1148,5,2
3.353,7619.41,0,0.0,0,1150,5,1
3.361,7678.3,0,0.0,0,1148,5,1
3.369,7742.81,0,0.0,0,1148,5,2
3.378,7805.91,0,0.0,0,1148,5,1
3.387,7851.44,0,0.0,0,1146,5,0
3.392,7923.51,0,0.0,0,1148,5,2
3.396,7971.85,0,0.0,0,1147,5,2
3.404,8000.5,0,0.0,0,1151,5,1
3.408,8033.02,0,0.0,0,1149,5,1
3.425,8083.3,0,0.0,0,1149,5,1
3.437,8116.87,0,0.0,0,1148,5,2
3.447,8244.84,0,0.0,0,1147,5,1
3.457,8321.13,0,0.0,0,1149,5,2
3.469,8404.8,0,0.0,0,1148,5,0
3.478,8484.08,0,0.0,0,1150,5,2
3.487,8541.91,0,0.0,0,1147,5,1
3.494,8603.43,0,0.0,0,1150,5,0
3.5,8669.53,0,0.0,0,1152,5,2
3.507,8705.91,0,0.0,0,1150,5,1
3.515,8757.94,0,0.0,0,1150,5,1
3.524,8816.66,0,0.0,0,1146,5,2
3.535,8863.59,0,0.0,0,1150,5,2
3.538,8945.5,0,0.0,0,1150,5,1
3.543,8986.81,0,0.0,0,1148,5,1
3.552,9014.94,0,0.0,0,1148,5,2
3.563,9045.17,0,0.0,0,1148,5,2
3.572,9134.29,0,0.0,0,1151,5,1
3.58,9193.88,0,0.0,0,1150,5,2
3.594,9270.7,0,0.0,0,1150,5,1
3.601,9337.14,0,0.0,0,1148,5,1
3.609,9409.04,0,0.0,0,1150,5,2
3.617,9453.86,0,0.0,0,1148,5,1
3.632,9509.06,0,0.0,0,1149,5,0
3.637,9587.46,0,0.0,0,1148,5,2
3.641,9656.54,0,0.0,0,1146,5,1
3.65,9692.4,0,0.0,0,1148,5,0
3.66,9738.28,0,0.0,0,1150,5,2
3.666,9794.17,0,0.0,0,1151,5,1
3.674,9853.76,0,0.0,0,1152,5,1
3.678,9906.67,0,0.0,0,1150,5,2
3.682,9950.09,0,0.0,0,1149,5,2
3.686,9974.88,0,0.0,0,1149,5,1
3.696,10004.23,0,0.0,0,1147,5,1
3.705,10032.18,0,0.0,0,1148,5,1
3.712,10107.24,0,0.0,0,1151,5,2
3.719,10168.41,0,0.0,0,1152,5,1
3.728,10210.07,0,0.0,0,1151,5,0
3.739,10274.41,0,0.0,0,1150,5,2
3.748,10329.43,0,0.0,0,1149,5,1
3.76,10406.95,0,0.0,0,1145,5,0
3.764,10474.62,0,0.0,0,1148,5,2
3.768,10545.46,0,0.0,0,1149,5,1
3.772,10567.26,0,0.0,0,1151,5,1
3.777,10595.39,0,0.0,0,1148,5,1
3.781,10623.33,0,0.0,0,1148,5,2
3.789,10655.85,0,0.0,0,1149,5,2
3.797,10682.57,0,0.0,0,1148,5,1
3.806,10745.33,0,0.0,0,1150,5,1
3.815,10801.93,0,0.0,0,1149,5,2
3.822,10856.6,0,0.0,0,1150,5,1
3.826,10932.18,0,0.0,0,1152,5,1
3.83,10962.94,0,0.0,0,1150,5,1
3.835,10992.12,0,0.0,0,1150,5,2
3.844,11025.7,0,0.0,0,1148,5,2
3.851,11067.71,0,0.0,0,1149,5,1
3.86,11120.09,0,0.0,0,1146,5,1
3.867,11180.21,0,0.0,0,1148,5,2
3.871,11238.92,0,0.0,0,1149,5,1
3.875,11275.13,0,0.0,0,1150,5,1
3.884,11301.32,0,0.0,0,1151,5,1
3.892,11332.61,0,0.0,0,1148,5,1
