time,motor_angle,motor_setpoint,pendulum_angle,pendulum_setpoint,rpm,voltage,current
2.844,0.0,0,0.0,0,0,0,0
2.85,0.0,0,0.0,0,0,10,0
2.854,0.0,0,0.0,0,0,10,0
2.859,3.51,0,0.0,0,149,10,261
2.878,7.73,0,0.0,0,190,10,256
2.888,26.71,0,0.0,0,379,10,233
2.899,69.6,0,0.0,0,603,10,204
2.914,103.88,0,0.0,0,728,10,194
2.925,167.87,0,0.0,0,895,10,170
2.938,240.64,0,0.0,0,1035,10,159
2.947,308.67,0,0.0,0,1139,10,138
2.962,417.83,0,0.0,0,1278,10,121
2.98,490.95,0,0.0,0,1353,10,111
2.993,659.0,0,0.0,0,1494,10,93
3.003,796.46,0,0.0,0,1585,10,82
3.014,908.78,0,0.0,0,1652,10,75
3.024,1023.39,0,0.0,0,1710,10,71
3.032,1116.91,0,0.0,0,1743,10,64
3.044,1209.02,0,0.0,0,1785,10,57
3.052,1359.1399999999999,0,0.0,0,1837,10,52
3.061,1444.21,0,0.0,0,1861,10,49
3.077,1556.71,0,0.0,0,1897,10,43
3.093,1730.74,0,0.0,0,1939,10,40
3.104,1854.84,0,0.0,0,1964,10,38
3.116,2007.59,0,0.0,0,2004,10,38
3.129,2147.69,0,0.0,0,2023,10,35
3.138,2304.66,0,0.0,0,2063,10,32
3.152,2462.16,0,0.0,0,2082,10,29
3.159,2592.07,0,0.0,0,2102,10,27
3.17,2727.07,0,0.0,0,2126,10,27
3.183,2835.35,0,0.0,0,2132,10,23
3.195,2959.45,0,0.0,0,2151,10,22
3.209,3147.36,0,0.0,0,2175,10,20
3.217,3346.52,0,0.0,0,2194,10,17
3.23,3472.38,0,0.0,0,2202,10,17
3.245,3654.66,0,0.0,0,2212,10,15
3.261,3837.83,0,0.0,0,2231,10,14
3.272,3993.92,0,0.0,0,2235,10,15
3.286,4173.57,0,0.0,0,2252,10,13
3.298,4353.22,0,0.0,0,2252,10,13
3.308,4550.27,0,0.0,0,2263,10,10
3.323,4677.18,0,0.0,0,2268,10,10
3.336,4878.45,0,0.0,0,2282,10,10
3.346,5057.22,0,0.0,0,2278,10,9
3.355,5172.53,0,0.0,0,2285,10,6
3.368,5329.16,0,0.0,0,2288,10,5
3.379,5472.24,0,0.0,0,2291,10,6
3.404,5645.03,0,0.0,0,2303,10,5
3.412,5948.08,0,0.0,0,2309,10,6
3.428,6162.36,0,0.0,0,2301,10,6
3.438,6253.94,0,0.0,0,2312,10,3
3.454,6495.82,0,0.0,0,2309,10,5
3.461,6642.59,0,0.0,0,2314,10,4
3.473,6817.32,0,0.0,0,2309,10,3
3.484,7011.91,0,0.0,0,2317,10,4
3.498,7134.96,0,0.0,0,2315,10,2
3.506,7248.51,0,0.0,0,2314,10,4
3.519,7424.12,0,0.0,0,2321,10,4
3.54,7577.4,0,0.0,0,2314,10,5
3.547,7786.93,0,0.0,0,2322,10,4
3.555,8039.7,0,0.0,0,2317,10,1
3.559,8153.78,0,0.0,0,2326,10,3
3.573,8221.46,0,0.0,0,2321,10,2
3.586,8296.17,0,0.0,0,2314,10,4
3.594,8515.37,0,0.0,0,2326,10,2
3.608,8650.89,0,0.0,0,2320,10,3
3.623,8839.33,0,0.0,0,2328,10,4
3.631,8970.82,0,0.0,0,2317,10,2
3.646,9160.13,0,0.0,0,2330,10,2
3.654,9368.61,0,0.0,0,2325,10,4
3.658,9508.18,0,0.0,0,2326,10,1
3.666,9583.06,0,0.0,0,2333,10,3
3.686,9650.03,0,0.0,0,2328,10,2
3.7,9854.64,0,0.0,0,2325,10,0
3.713,10072.96,0,0.0,0,2326,10,2
3.719,10302.18,0,0.0,0,2329,10,4
3.723,10444.92,0,0.0,0,2321,10,3
3.728,10503.28,0,0.0,0,2322,10,1
3.731,10555.66,0,0.0,0,2323,10,2
3.735,10617.36,0,0.0,0,2327,10,2
3.74,10673.78,0,0.0,0,2333,10,2
3.744,10727.57,0,0.0,0,2330,10,2
3.748,10786.81,0,0.0,0,2328,10,1
3.752,10838.67,0,0.0,0,2321,10,4
3.757,10902.3,0,0.0,0,2325,10,2
3.764,10960.13,0,0.0,0,2332,10,1
3.768,11034.84,0,0.0,0,2332,10,2
3.778,11133.45,0,0.0,0,2321,10,1
3.784,11187.59,0,0.0,0,2326,10,4
3.8,11327.87,0,0.0,0,2334,10,2
3.817,11525.97,0,0.0,0,2321,10,3
3.832,11657.28,0,0.0,0,2326,10,1
3.844,11880.35,0,0.0,0,2320,10,3
3.859,12125.21,0,0.0,0,2330,10,1
3.868,12314.7,0,0.0,0,2323,10,2
3.885,12467.63,0,0.0,0,2337,10,2
3.892,12624.43,0,0.0,0,2317,10,4
3.913,12811.64,0,0.0,0,2330,10,4
3.93,13104.31,0,0.0,0,2333,10,0
3.94,13265.85,0,0.0,0,2327,10,0
3.955,13530.23,0,0.0,0,2330,10,4
3.964,13615.83,0,0.0,0,2326,10,1
3.983,13816.23,0,0.0,0,2333,10,0
4.0,13971.79,0,0.0,0,2327,10,1
4.01,14179.57,0,0.0,0,2326,10,1
4.035,14490.52,0,0.0,0,2322,10,2
4.044,14695.83,0,0.0,0,2326,10,1
4.055,14910.29,0,0.0,0,2328,10,1
