time,motor_angle,motor_setpoint,pendulum_angle,pendulum_setpoint,rpm,voltage,current
4.91,0.0,0,0.0,0,0,0,0
4.918,0.0,0,0.0,0,0,15,0
4.938,0.0,0,0.0,0,0,15,0
4.947,24.43,0,0.0,0,406,15,403
4.966,66.62,0,0.0,0,733,15,336
4.977,128.84,0,0.0,0,987,15,301
4.982,248.02,0,0.0,0,1340,15,258
5.003,338.02,0,0.0,0,1518,15,233
5.011,457.90999999999997,0,0.0,0,1705,15,211
5.02,630.52,0,0.0,0,1923,15,185
5.033,701.01,0,0.0,0,2003,15,174
5.051,807.36,0,0.0,0,2111,15,164
5.069,1048.0,0,0.0,0,2303,15,138
5.078,1254.9,0,0.0,0,2435,15,121
5.085,1529.12,0,0.0,0,2574,15,105
5.098,1634.76,0,0.0,0,2636,15,99
5.112,1747.79,0,0.0,0,2673,15,93
5.122,2012.51,0,0.0,0,2780,15,82
5.135,2183.55,0,0.0,0,2825,15,74
5.147,2421.56,0,0.0,0,2900,15,69
5.181,2649.55,0,0.0,0,2949,15,59
5.196,3204.49,0,0.0,0,3065,15,49
5.204,3528.8,0,0.0,0,3112,15,43
5.221,3724.1,0,0.0,0,3141,15,43
5.232,3867.01,0,0.0,0,3171,15,42
5.241,4195.72,0,0.0,0,3215,15,38
5.252,4443.75,0,0.0,0,3239,15,33
5.268,4620.41,0,0.0,0,3262,15,31
5.283,4865.44,0,0.0,0,3280,15,28
5.295,5163.57,0,0.0,0,3315,15,26
5.307,5404.21,0,0.0,0,3329,15,23
5.314,5693.2,0,0.0,0,3355,15,20
5.324,5884.27,0,0.0,0,3362,15,19
5.337,6022.96,0,0.0,0,3382,15,21
5.346,6200.15,0,0.0,0,3382,15,20
5.354,6537.83,0,0.0,0,3401,15,18
5.358,6675.46,0,0.0,0,3401,15,13
5.37,6821.54,0,0.0,0,3409,15,12
5.378,6906.79,0,0.0,0,3411,15,15
5.39,7183.12,0,0.0,0,3429,15,11
5.403,7369.98,0,0.0,0,3436,15,10
5.412,7630.66,0,0.0,0,3434,15,14
5.425,7914.19,0,0.0,0,3454,15,7
5.443,8068.18,0,0.0,0,3459,15,7
5.454,8350.48,0,0.0,0,3449,15,12
5.468,8687.46,0,0.0,0,3456,15,10
5.481,8962.55,0,0.0,0,3472,15,5
5.49,9229.39,0,0.0,0,3477,15,9
5.502,9494.47,0,0.0,0,3474,15,4
5.514,9692.75,0,0.0,0,3482,15,4
5.523,9976.81,0,0.0,0,3492,15,9
5.536,10189.86,0,0.0,0,3479,15,4
5.549,10429.8,0,0.0,0,3487,15,3
5.559,10692.42,0,0.0,0,3495,15,8
5.572,10887.36,0,0.0,0,3495,15,4
5.582,11150.85,0,0.0,0,3492,15,1
5.59,11402.22,0,0.0,0,3503,15,6
5.6,11601.73,0,0.0,0,3487,15,6
5.617,11785.6,0,0.0,0,3511,15,4
5.631,12109.57,0,0.0,0,3505,15,5
5.644,12456.73,0,0.0,0,3508,15,4
5.663,12660.11,0,0.0,0,3500,15,5
5.675,12950.85,0,0.0,0,3500,15,2
5.691,13357.79,0,0.0,0,3511,15,4
5.703,13601.77,0,0.0,0,3511,15,2
5.717,13874.94,0,0.0,0,3511,15,1
5.733,14193.1,0,0.0,0,3516,15,2
5.748,14472.42,0,0.0,0,3503,15,5
5.761,14885.5,0,0.0,0,3511,15,2
5.774,15128.26,0,0.0,0,3511,15,1
5.794,15414.78,0,0.0,0,3500,15,2
5.808,15701.48,0,0.0,0,3519,15,4
5.822,16075.37,0,0.0,0,3516,15,5
5.832,16414.1,0,0.0,0,3516,15,3
5.843,16659.31,0,0.0,0,3503,15,2
5.863,16851.26,0,0.0,0,3513,15,1
5.881,17190.17,0,0.0,0,3505,15,2
5.893,17524.51,0,0.0,0,3511,15,5
5.907,17925.11,0,0.0,0,3519,15,1
5.919,18181.93,0,0.0,0,3508,15,0
5.931,18482.16,0,0.0,0,3508,15,2
5.948,18699.78,0,0.0,0,3511,15,1
5.956,19081.4,0,0.0,0,3508,15,0
5.96,19301.3,0,0.0,0,3519,15,4
5.964,19438.76,0,0.0,0,3513,15,0
5.978,19531.93,0,0.0,0,3503,15,3
5.993,19608.04,0,0.0,0,3513,15,1
6.004,20046.62,0,0.0,0,3521,15,6
6.018,20238.04,0,0.0,0,3508,15,4
6.034,20521.93,0,0.0,0,3508,15,0
6.047,20877.71,0,0.0,0,3505,15,0
6.055,21244.04,0,0.0,0,3511,15,0
6.068,21415.42,0,0.0,0,3511,15,0
6.08,21518.43,0,0.0,0,3519,15,2
6.089,21855.93,0,0.0,0,3516,15,5
6.103,22094.29,0,0.0,0,3511,15,2
6.112,22356.21,0,0.0,0,3500,15,2
6.127,22601.42,0,0.0,0,3516,15,2
6.139,22733.61,0,0.0,0,3516,15,4
6.145,23135.8,0,0.0,0,3511,15,2
6.149,23316.32,0,0.0,0,3516,15,1
6.153,23408.61,0,0.0,0,3508,15,1
6.163,23489.64,0,0.0,0,3513,15,2
6.172,23593.18,0,0.0,0,3513,15,1
6.183,23826.09,0,0.0,0,3498,15,5
6.193,24066.56,0,0.0,0,3508,15,1
6.209,24287.16,0,0.0,0,3511,15,0
6.224,24615.52,0,0.0,0,3519,15,1
6.236,24829.62,0,0.0,0,3511,15,0
6.244,25110.52,0,0.0,0,3511,15,3
6.269,25366.64,0,0.0,0,3516,15,0
6.276,25903.82,0,0.0,0,3513,15,1
6.284,26062.2,0,0.0,0,3508,15,1
6.288,26185.95,0,0.0,0,3513,15,5
6.296,26347.85,0,0.0,0,3519,15,5
6.308,26442.59,0,0.0,0,3513,15,1
6.321,26631.73,0,0.0,0,3505,15,0
6.33,26895.41,0,0.0,0,3519,15,5
6.34,27176.66,0,0.0,0,3516,15,0
6.348,27313.59,0,0.0,0,3519,15,1
6.353,27551.77,0,0.0,0,3519,15,1
6.367,27718.94,0,0.0,0,3519,15,0
6.379,27841.64,0,0.0,0,3516,15,2
6.392,28159.98,0,0.0,0,3505,15,4
